,Date,Close,Predicted
228,2020-02-21,60.066666,60.92765
229,2020-02-24,55.585999,60.97082
230,2020-02-25,53.327332,57.891018
231,2020-02-26,51.919998,56.653492
232,2020-02-27,45.266666,56.215527
233,2020-02-28,44.532665,51.92138
234,2020-03-02,49.574669,51.607117
235,2020-03-03,49.700668,55.27823
236,2020-03-04,49.966667,55.048927
237,2020-03-05,48.302666,55.118088
238,2020-03-06,46.898666,53.570087
239,2020-03-09,40.533333,52.64103
240,2020-03-10,43.021999,47.849678
241,2020-03-11,42.282001,49.97685
242,2020-03-12,37.369999,49.26993
243,2020-03-13,36.441334,43.971104
244,2020-03-16,29.671333,42.896423
245,2020-03-17,28.68,35.20113
246,2020-03-18,24.081333,33.414055
247,2020-03-19,28.509333,28.46532
248,2020-03-20,28.502001,32.38318
249,2020-03-23,28.952667,32.477333
250,2020-03-24,33.666668,33.039696
251,2020-03-25,35.950001,38.016888
252,2020-03-26,35.210667,40.349545
253,2020-03-27,34.290668,40.01132
254,2020-03-30,33.475334,39.453938
255,2020-03-31,34.933334,38.771496
256,2020-04-01,32.104,40.2315
257,2020-04-02,30.298,37.356506
258,2020-04-03,32.000668,35.29931
259,2020-04-06,34.416,37.001514
260,2020-04-07,36.363335,39.20529
261,2020-04-08,36.589333,41.31885
262,2020-04-09,38.200001,41.79078
263,2020-04-13,43.396667,43.808758
264,2020-04-14,47.326,48.663532
265,2020-04-15,48.655334,51.577503
266,2020-04-16,49.680668,52.487797
267,2020-04-17,50.259335,53.335213
268,2020-04-20,49.757332,54.06051
269,2020-04-21,45.781334,54.124058
270,2020-04-22,48.807335,51.701256
271,2020-04-23,47.042,54.134274
272,2020-04-24,48.343334,52.912064
273,2020-04-27,53.25,53.960495
274,2020-04-28,51.274666,56.688072
275,2020-04-29,53.367332,55.453907
276,2020-04-30,52.125332,56.476376
277,2020-05-01,46.754665,55.818424
278,2020-05-04,50.745998,52.680485
279,2020-05-05,51.214001,55.390537
280,2020-05-06,52.172001,55.704456
281,2020-05-07,52.002666,56.18573
282,2020-05-08,54.627998,56.1551
283,2020-05-11,54.085999,57.32736
284,2020-05-12,53.960667,57.026512
285,2020-05-13,52.730667,56.940365
286,2020-05-14,53.555332,56.34429
287,2020-05-15,53.278,56.83915
288,2020-05-18,54.242001,56.821598
289,2020-05-19,53.867332,57.410847
290,2020-05-20,54.370667,57.21224
291,2020-05-21,55.173332,57.440647
292,2020-05-22,54.458668,57.91963
293,2020-05-26,54.591331,57.45713
294,2020-05-27,54.681999,57.561424
295,2020-05-28,53.720669,57.61442
296,2020-05-29,55.666668,57.09124
297,2020-06-01,59.873333,58.302242
298,2020-06-02,58.770668,61.089764
299,2020-06-03,58.863998,60.420986
300,2020-06-04,57.625332,60.421196
301,2020-06-05,59.043999,59.564228
302,2020-06-08,63.327999,60.644234
303,2020-06-09,62.711334,64.172615
304,2020-06-10,68.33667,63.445835
305,2020-06-11,64.856003,68.97121
306,2020-06-12,62.352001,66.09308
307,2020-06-15,66.059998,64.13994
308,2020-06-16,65.475334,67.87824
309,2020-06-17,66.119331,67.75421
310,2020-06-18,66.930664,68.67493
311,2020-06-19,66.726669,69.62154
312,2020-06-22,66.288002,69.67284
313,2020-06-23,66.785332,69.30658
314,2020-06-24,64.056664,69.80025
315,2020-06-25,65.732002,67.450714
316,2020-06-26,63.982666,69.048676
317,2020-06-29,67.290001,67.62119
318,2020-06-30,71.987335,70.38088
319,2020-07-01,74.641998,72.69304
320,2020-07-02,80.577332,73.8554
321,2020-07-06,91.438667,79.34688
322,2020-07-07,92.657333,86.09904
323,2020-07-08,91.05867,88.54607
324,2020-07-09,92.952003,86.92078
325,2020-07-10,102.976669,90.53186
326,2020-07-13,99.804001,101.7112
327,2020-07-14,101.120003,99.19435
328,2020-07-15,103.067329,100.573555
329,2020-07-16,100.042664,102.15814
330,2020-07-17,100.056,99.61758
331,2020-07-20,109.533333,99.48971
332,2020-07-21,104.557335,107.71624
333,2020-07-22,106.155334,102.96799
334,2020-07-23,100.87133,104.2284
335,2020-07-24,94.466667,99.644455
336,2020-07-27,102.639999,93.93318
337,2020-07-28,98.432671,101.193
338,2020-07-29,99.940666,97.6478
339,2020-07-30,99.166,99.05099
340,2020-07-31,95.384003,98.4156
341,2020-08-03,99.0,95.00071
342,2020-08-04,99.133331,98.41634
343,2020-08-05,99.001335,98.61507
344,2020-08-06,99.305336,98.55441
345,2020-08-07,96.847336,98.82381
346,2020-08-10,94.571335,96.61793
347,2020-08-11,91.625999,94.45968
348,2020-08-12,103.650665,89.81197
349,2020-08-13,108.066666,102.59643
350,2020-08-14,110.047333,106.32533
351,2020-08-17,122.375999,108.279625
352,2020-08-18,125.806,119.16839
353,2020-08-19,125.235336,123.13914
354,2020-08-20,133.455338,122.81591
355,2020-08-21,136.665329,130.37892
356,2020-08-24,134.279999,132.99615
357,2020-08-25,134.889328,130.61218
358,2020-08-26,143.544662,130.58806
359,2020-08-27,149.25,138.81439
360,2020-08-28,147.559998,144.08405
361,2020-08-31,166.106674,141.68742
362,2020-09-01,158.350006,158.99025
363,2020-09-02,149.123337,151.55861
364,2020-09-03,135.666672,142.80577
365,2020-09-04,139.440002,131.86452
366,2020-09-08,110.07,132.42395
367,2020-09-09,122.09333,119.32399
368,2020-09-10,123.779999,119.85806
369,2020-09-11,124.239998,121.60669
370,2020-09-14,139.873337,122.67578
371,2020-09-15,149.919998,136.11777
372,2020-09-16,147.253326,145.14297
373,2020-09-17,141.143326,141.62033
374,2020-09-18,147.383331,135.31885
375,2020-09-21,149.796661,141.8326
376,2020-09-22,141.410004,144.21645
377,2020-09-23,126.786667,136.18408
378,2020-09-24,129.263336,124.723015
379,2020-09-25,135.779999,124.3705
380,2020-09-28,140.399994,131.27678
381,2020-09-29,139.690002,135.93005
382,2020-09-30,143.003326,134.56808
383,2020-10-01,149.386673,136.96846
384,2020-10-02,138.363327,143.69942
385,2020-10-05,141.893326,133.65575
386,2020-10-06,137.993332,135.42848
387,2020-10-07,141.766663,132.35614
388,2020-10-08,141.973328,136.0803
389,2020-10-09,144.666672,136.40085
390,2020-10-12,147.433334,138.81265
391,2020-10-13,148.883331,141.37794
392,2020-10-14,153.766663,142.53963
393,2020-10-15,149.626663,146.65092
394,2020-10-16,146.556671,142.88405
395,2020-10-19,143.610001,139.31474
396,2020-10-20,140.646667,136.38629
397,2020-10-21,140.880005,133.90996
398,2020-10-22,141.929993,134.7523
399,2020-10-23,140.210007,136.17854
400,2020-10-26,140.093338,134.52956
401,2020-10-27,141.559998,134.23444
402,2020-10-28,135.339996,135.66504
403,2020-10-29,136.943329,130.37083
404,2020-10-30,129.346664,131.33005
405,2020-11-02,133.503326,125.407814
406,2020-11-03,141.300003,128.88159
407,2020-11-04,140.32666,136.37732
408,2020-11-05,146.029999,135.09058
409,2020-11-06,143.316666,140.12119
410,2020-11-09,140.419998,137.20093
411,2020-11-10,136.786667,134.12918
412,2020-11-11,139.043335,130.9232
413,2020-11-12,137.253326,133.4194
414,2020-11-13,136.166672,132.10562
415,2020-11-16,136.029999,131.11632
416,2020-11-17,147.203339,130.9255
417,2020-11-18,162.213333,142.25946
418,2020-11-19,166.42334,155.31822
419,2020-11-20,163.203339,157.54877
420,2020-11-23,173.949997,154.04884
